03-12	3.17	9.44
04-01	16.46	10.23
04-02	15.62	10.06
04-03	16.44	9.88
04-04	16.12	9.97
04-05	16.51	9.99
04-06	15.59	9.74
04-07	16.06	9.85
04-08	16.13	10.10
04-09	14.99	10.13
04-10	16.01	10.29
04-11	16.23	10.28
04-12	15.47	9.82
